Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
CDK7,P50613,CMGC,CDK,NA,0.04691114413678817,0.032452023781137915,0.08512818245994963,-0.6238689935906584,-0.632695643997624,0.03789120027100549,NA,9
GSK3A,P49840,CMGC,GSK,NA,0.03339740809481743,0.032452023781137915,0.0381045263321496,-0.4533636573181805,-0.4533636573181805,0,NA,3
MAPK10,P53779,CMGC,MAPK,NA,0.05427148592451997,0.032452023781137915,0.13786862068696282,-0.6832947031629151,-0.6983300950541658,0.030490803009810722,NA,17
CSNK1A1,P48729,CK1,CK1,NA,0.035983620407378764,0.03151705144606486,0.08196966321511988,-0.5602835389281322,-0.5191681269053507,0.13703822526686088,NA,6
MAPK8,P45983,CMGC,MAPK,NA,0.04345212471633732,0.030584087646018613,0.13786862068696282,-0.6832947031629151,-0.6906856527549822,0.023040743974572675,NA,18
CDKL2,Q92772,CMGC,CDKL,NA,0.03632734594785584,0.028260656441415156,0.08724669632867703,-0.4191377133131797,-0.4471922356236554,0.06871926463819193,NA,3
MAPK15,Q8TD08,CMGC,MAPK,NA,0.027797161620935564,0.027797161620935564,0.027797161620935564,-0.41324993818821065,-0.41324993818821065,NA,NA,3
NUAK1,O60285,CAMK,CAMKL,NA,0.028746609296108495,0.02687312941402911,0.036212172654444715,-0.4113428477386323,-0.4113428477386323,0,NA,3
MAP3K8,P41279,STE,STE-Unique,NA,0.024023538842055787,0.02502800570193105,0.030584087646018613,-0.4170420663815891,-0.4170420663815891,0,NA,3
MAPK3,P27361,CMGC,MAPK,NA,0.02742448914956957,0.02502800570193105,0.06449273417528721,-0.6642087003700252,-0.6500012260693062,0.028211383320784975,NA,15
NEK8,Q86SG6,NEK,NEK,NA,0.026151967112608903,0.024133129492897344,0.04000516167158381,-0.44490304716201984,-0.44490304716201984,0.0016809236418318073,NA,4
CDK1,P06493,CMGC,CDK,NA,0.023433636416490468,0.02410886359820726,0.05256627811294924,-0.6212244036849975,-0.6193560532600209,0.009466348001157783,NA,12
CDK5,Q00535,CMGC,CDK,NA,0.019154083243802456,0.021363051615525673,0.023191662661933767,-0.5912416333053678,-0.5912416333053678,0,NA,10
MAK,P20794,CMGC,RCK,NA,0.01772970944182133,0.01772970944182133,0.018634490921455603,-0.3802927035052532,-0.3802927035052532,0,NA,3
MAPK14,Q16539,CMGC,MAPK,NA,0.01158447327995656,0.00877392430750515,0.02410886359820726,-0.5129705508958395,-0.5240412761978105,0.035205505689796336,NA,8
PRKDC,P78527,Atypical,PIKK,NA,0.001354043245387943,8.694587126288914e-4,0.00261361560268669,-0.1763817897829981,-0.1763817897829981,0,NA,3
