Kinase,HGNC,Perc,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
AURKB,AURKB,0.5967741935483871,0.5967741935483871,-1,-1,-1,0.30207472135695523,36,0.3391536803997346
CDK5,CDK5,1,1,-1,-1,-1,0.33303912219211473,53,0.46510001828219494
PRKCE,PRKCE,0.6129032258064516,0.6129032258064516,-1,-1,-1,0.3033132973903616,37,0.344191533915033
PRKCQ,PRKCQ,0.8548387096774194,0.8548387096774194,-1,-1,-1,0.3218919378914573,47,0.4197593366445092
PRKCZ,PRKCZ,0.3870967741935484,0.3870967741935484,-1,-1,-1,0.28597323292267235,29,0.27366158470085544
PRKCD,PRKCD,0.2258064516129032,0.2258064516129032,-1,-1,-1,0.27358747258860855,23,0.2232830495478713
PRKAA1,PRKAA1,0.2903225806451613,0.2903225806451613,-1,-1,-1,0.27854177672223407,25,0.24343446360906495
PAK1,PAK1,0.6935483870967742,0.6935483870967742,-1,-1,-1,0.30950617755739357,40,0.3693808014915253
PAK2,PAK2,0.46774193548387094,0.46774193548387094,-1,-1,-1,0.2921661130897042,32,0.29885085227734726
PRKG2,PRKG2,0.6290322580645161,0.6290322580645161,-1,-1,-1,0.304551873423768,38,0.34922938743033144
ATR,ATR,0.9838709677419356,0.9838709677419356,-1,-1,-1,0.3318005461587083,53,0.4600621647668963
CAMK2G,CAMK2G,0,0,-1,-1,-1,0.2562474081209193,12,0.15275310033369374
DYRK1A,DYRK1A,0.5161290322580645,0.5161290322580645,-1,-1,-1,0.2958818411899234,33,0.3139644128232428
PRKG1,PRKG1,0.3225806451612903,0.3225806451612903,-1,-1,-1,0.28101892878904683,26,0.2535101706396618
PRKD1,PRKD1,0.41935483870967744,0.41935483870967744,-1,-1,-1,0.2884503849894851,30,0.2837372917314523
RPS6KA2,RPS6KA2,0.5806451612903226,0.5806451612903226,-1,-1,-1,0.30083614532354885,36,0.3341158268844362
RPS6KA1,RPS6KA1,0.25806451612903225,0.25806451612903225,-1,-1,-1,0.2760646246554213,24,0.23335875657846814
MAPK14,MAPK14,0,0,-1,-1,-1,0.2562474081209193,12,0.15275310033369374
PIM3,PIM3,0.7258064516129032,0.7258064516129032,-1,-1,-1,0.3119833296242063,41,0.3794565085221219
PASK,PASK,0,0,-1,-1,-1,0.2562474081209193,13,0.15275310033369374
VRK1,VRK1,0,0,-1,-1,-1,0.2562474081209193,13,0.15275310033369374
PIM2,PIM2,0.8064516129032258,0.8064516129032258,-1,-1,-1,0.3181762097912381,45,0.40464577609861374
AKT3,AKT3,0.5645161290322581,0.5645161290322581,-1,-1,-1,0.2995975692901425,35,0.32907797336913774
AAK1,AAK1,0.09428571428571428,-1,0.09428571428571428,-1,-1,0.24187297208877984,5,0.09428571428571429
ABL1,ABL1,0.9571428571428572,-1,0.9571428571428572,-1,-1,0.454009782766384,98,0.9571428571428572
ABL2,ABL2,0.4,-1,0.4,-1,-1,0.3170340275275336,44,0.4
ACVR1,ACVR1,0.7428571428571429,-1,0.7428571428571429,-1,-1,0.4013267999822108,88,0.7428571428571431
ACVR1B,ACVR1B,0.3314285714285714,-1,0.3314285714285714,-1,-1,0.3001754730365982,36,0.3314285714285714
ACVR2B,ACVR2B,0.2857142857142857,-1,0.2857142857142857,-1,-1,0.2889364367093079,30,0.2857142857142857
AKT1,AKT1,0.9771428571428572,-1,0.9771428571428572,-1,-1,0.45892686115957343,99,0.9771428571428569
AKT2,AKT2,0.8485714285714285,-1,0.8485714285714285,-1,-1,0.42731707148906956,93,0.8485714285714285
AKT3,AKT3,0.5257142857142857,-1,0.5257142857142857,-1,-1,0.3479413774275819,59,0.5257142857142857
