Dataset,HGNC,CombinedScore
C3N_C3NPC_STK_creedencombined.csv,MAPK9,0.6829993427965064
C3N_C3NPC_STK_creedencombined.csv,MAPKAPK3,0.22769661356859633
C3N_C3NPC_STK_creedencombined.csv,MAPKAPK5,0.4501927559046551
C3N_C3NPC_STK_creedencombined.csv,MARK2,0.31330173201493033
C3N_C3NPC_STK_creedencombined.csv,MARK3,0.24251373861957992
C3N_C3NPC_STK_creedencombined.csv,MARK4,0.10305082625859129
C3N_C3NPC_STK_creedencombined.csv,MAST1,0.18651726623221332
C3N_C3NPC_STK_creedencombined.csv,MAST2,0.1199554216962869
C3N_C3NPC_STK_creedencombined.csv,MATK,0.24251373861957992
C3N_C3NPC_STK_creedencombined.csv,MELK,0.09658266160775496
C3N_C3NPC_STK_creedencombined.csv,MERTK,0.2731533178504032
C3N_C3NPC_STK_creedencombined.csv,MET,0.30907558315550643
C3N_C3NPC_STK_creedencombined.csv,MKNK1,0.2878128414579778
C3N_C3NPC_STK_creedencombined.csv,MKNK2,0.1758691125591322
C3N_C3NPC_STK_creedencombined.csv,MOK,0.18546072901735727
C3N_C3NPC_STK_creedencombined.csv,MOS,0.17507919721132945
C3N_C3NPC_STK_creedencombined.csv,MST1R,0.19919571281048504
C3N_C3NPC_STK_creedencombined.csv,MYLK2,0.17139914631116027
C3N_C3NPC_STK_creedencombined.csv,MYO3A,0.15059500092711017
C3N_C3NPC_STK_creedencombined.csv,NEK10,0.14319924042311835
C3N_C3NPC_STK_creedencombined.csv,NEK11,0.03474624182993913
C3N_C3NPC_STK_creedencombined.csv,NEK3,0.16883268633514975
C3N_C3NPC_STK_creedencombined.csv,NEK4,0.15407087593090635
C3N_C3NPC_STK_creedencombined.csv,NEK8,0.108555293851156
C3N_C3NPC_STK_creedencombined.csv,NEK9,0.28077641523399527
C3N_C3NPC_STK_creedencombined.csv,NIM1K,0.1537646125716781
C3N_C3NPC_STK_creedencombined.csv,NLK,0.46068131399352896
C3N_C3NPC_STK_creedencombined.csv,NPR2,0.3323194018823379
C3N_C3NPC_STK_creedencombined.csv,NRBP2,0.1791215057282215
C3N_C3NPC_STK_creedencombined.csv,NTRK1,0.35978936946859325
C3N_C3NPC_STK_creedencombined.csv,NTRK2,0.24990949912357183
C3N_C3NPC_STK_creedencombined.csv,NTRK3,0.284775227213819
C3N_C3NPC_STK_creedencombined.csv,NUAK1,0.38989976086932365
C3N_C3NPC_STK_creedencombined.csv,NUAK2,0.25212286376305215
C3N_C3NPC_STK_creedencombined.csv,OXSR1,0.06281699358657386
C3N_C3NPC_STK_creedencombined.csv,PAK3,0.36439546908869946
C3N_C3NPC_STK_creedencombined.csv,PAK4,0.5575395569117753
C3N_C3NPC_STK_creedencombined.csv,PAK5,0.18603399507165033
C3N_C3NPC_STK_creedencombined.csv,PAK6,0.46158778928419336
C3N_C3NPC_STK_creedencombined.csv,PBK,0.3735243532617209
C3N_C3NPC_STK_creedencombined.csv,PDGFRA,0.16749959636480577
C3N_C3NPC_STK_creedencombined.csv,PDGFRB,0.24040066418986805
C3N_C3NPC_STK_creedencombined.csv,PDIK1L,0.13263386827455856
C3N_C3NPC_STK_creedencombined.csv,PDK1,0.4451399899423746
C3N_C3NPC_STK_creedencombined.csv,PDPK1,0.48696511942106424
