Kinase,Z,method,AvgZ
DMPK,1.8,710230322>0.4,1.3125
PKG,1.71,710230322>0.4,1.425
CDK,-1.66,710230322>0.4,-1.85
DYRK,-1.63,710230322>0.4,-1.495
NEK,-1.5,710230322>0.4,-1.6575
RSK,1.47,710230322>0.4,1.395
PHK,1.41,710230322>0.4,1.4
AKT,1.38,710230322>0.4,1.0825
QIK,1.36,710230322>0.4,0.67
PKD,1.3,710230322>0.4,0.42000000000000004
AMPK,1.28,710230322>0.4,0.9500000000000001
PASK,1.28,710230322>0.4,1.0275
TAO,1.28,710230322>0.4,1.0375
WNK,1.26,710230322>0.4,1.0150000000000001
MOS,1.25,710230322>0.4,1.02
BUD32,1.21,710230322>0.4,1
CHK1,-1.19,710230322>0.4,-1.29
PKCH,-1.17,710230322>0.4,0.685
PKCI,1.16,710230322>0.4,1.1324999999999998
NAK,-1.15,710230322>0.4,-1.46
TLK,-1.13,710230322>0.4,-1.4275
MLK,1.11,710230322>0.4,0.9450000000000001
PAKB,-1.08,710230322>0.4,-0.6950000000000001
PDK1,-1.06,710230322>0.4,-0.7025
GRK,-0.97,710230322>0.4,-1.8175
PAKA,0.95,710230322>0.4,0.5675
SGK,0.95,710230322>0.4,0.825
RAD53,0.94,710230322>0.4,0.645
DAPK,0.86,710230322>0.4,0.28500000000000003
COT,-0.85,710230322>0.4,0.25749999999999995
CK2,-0.82,710230322>0.4,-1.4375
PDHK,0.8,710230322>0.4,0.8400000000000001
SLK,-0.8,710230322>0.4,0.017500000000000016
NIK,-0.79,710230322>0.4,-0.995
ULK,-0.79,710230322>0.4,-0.9975
CAMKK,-0.79,710230322>0.4,-0.9975
KHS,-0.79,710230322>0.4,-1.0225
CLK,-0.78,710230322>0.4,-0.99
LKB,-0.77,710230322>0.4,-0.775
BRSK,-0.77,710230322>0.4,0.5325
IKK,-0.77,710230322>0.4,-1.3975
MTOR,0.65,710230322>0.4,0.2625
FRAY,0.64,710230322>0.4,0.885
STE11,-0.6,710230322>0.4,-0.9875
ATR,-0.58,710230322>0.4,-0.715
RIPK,0.57,710230322>0.4,-0.5049999999999999
RAF,-0.53,710230322>0.4,-0.4225
MSN,0.52,710230322>0.4,0.7775
ATM,0.51,710230322>0.4,0.03499999999999999
GSK,0.44,710230322>0.4,-0.0825
PEK,-0.44,710230322>0.4,-0.5325
PKN,0.35,710230322>0.4,0.3725
NUAK,0.35,710230322>0.4,0.022500000000000006
TTK,0.33,710230322>0.4,-0.0049999999999999906
MARK,-0.27,710230322>0.4,-0.20500000000000002
MST,-0.23,710230322>0.4,0.0525
CAMK2,0.23,710230322>0.4,0.285
PRKDC,0.22,710230322>0.4,0.009999999999999995
PKCA,-0.17,710230322>0.4,-0.04000000000000001
BARK2,-0.17,710230322>0.4,0.009999999999999995
NDR,0.1,710230322>0.4,0.6975
MELK,0.1,710230322>0.4,0.67
VRK1,0.09,710230322>0.4,-0.4525
MLCK,0.07,710230322>0.4,0.6975
PIM,-0.06,710230322>0.4,0.6725000000000001
CAMK1,-0.03,710230322>0.4,-0.32999999999999996
