var1,var2,cor,statistic,p,method
SCZ_291_CTL_846,SCZ_737_CTL_869,0.73,3182566.7129329927,1.2399999999999997e-69,Spearman
SCZ_291_CTL_846,SCZ_802_CTL_676,0.7,3544600.9633758534,1.3199999999999998e-61,Spearman
SCZ_291_CTL_846,SCZ_929_CTL_346,0.64,4188108.581267547,1.31e-49,Spearman
SCZ_291_CTL_846,SCZ_930_CTL_111,0.7,3479389.466476346,5.639999999999999e-63,Spearman
SCZ_291_CTL_846,SCZ_931_CTL_524,0.71,3414742.305276418,2.2999999999999998e-64,Spearman
SCZ_291_CTL_846,SCZ_94_CTL_46,0.66,4035477.2947605667,3.1399999999999997e-52,Spearman
SCZ_291_CTL_846,SCZ_CTL,0.72,3277799.7280013883,2.04e-67,Spearman
SCZ_291_CTL_846,SCZ_F_CTL_F,0.73,3201957.3178072083,3.5499999999999994e-69,Spearman
SCZ_291_CTL_846,SCZ_F_SCZ_M,0.74,3078025.385354971,3.669999999999999e-72,Spearman
SCZ_291_CTL_846,SCZ_M_CTL_M,0.68,3735394.566594284,8.940000000000001e-58,Spearman
SCZ_331_CTL_167,C3N_C3NPC,0.85,1802780.6322872716,1.4899999999999998e-114,Spearman
SCZ_331_CTL_167,C3N_D3N,0.87,1544613.590932996,2.659999999999999e-127,Spearman
SCZ_331_CTL_167,C3N_D3NPC,0.84,1832735.7562632782,3.319999999999999e-113,Spearman
SCZ_331_CTL_167,CTL_F_CTL_M,0.78,2600902.566998784,3.739999999999999e-85,Spearman
SCZ_331_CTL_167,CTL_SCZ,0.84,1915014.93892507,1.2699999999999996e-109,Spearman
SCZ_331_CTL_167,Haloperidol_Control,0.77,2690542.1350500104,1.6499999999999995e-82,Spearman
SCZ_331_CTL_167,SCZ_22_CTL_116,0.87,1580224.6906932702,2.0699999999999996e-125,Spearman
SCZ_331_CTL_167,SCZ_225_CTL_874,0.79,2495164.0700684735,2.0599999999999995e-88,Spearman
SCZ_331_CTL_167,SCZ_291_CTL_846,0.77,2736357.950013008,3.3799999999999995e-81,Spearman
SCZ_331_CTL_167,SCZ_331_CTL_167,1,0,0,Spearman
