Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
MAPK11,"3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide",-0.46779769,LINCSKD_31604,VCAP,120 h,LINCSCP_22888,HEPG2,10uM,6h
MAPK11,JNK-IN-2,-0.46666952,LINCSKD_31604,VCAP,120 h,LINCSCP_36951,MCF7,10uM,6h
MAPK11,TAK-285,-0.4665518,LINCSKD_31604,VCAP,120 h,LINCSCP_96490,HA1E,0.12uM,24h
MAPK11,SJ 172550,-0.46616155,LINCSKD_31604,VCAP,120 h,LINCSCP_40146,NCIH2073,10uM,6h
MAPK11,CHEMDIV2_001418,-0.46611569,LINCSKD_31604,VCAP,120 h,LINCSCP_6341,A549,10uM,24h
MAPK11,BDBM50127227,-0.46607222,LINCSKD_31604,VCAP,120 h,LINCSCP_224198,HT29,10uM,6h
MAPK11,ZM336372,-0.46561397,LINCSKD_31604,VCAP,120 h,LINCSCP_41894,NOMO1,100uM,6h
MAPK11,Tanespimycin,-0.46551247,LINCSKD_31604,VCAP,120 h,LINCSCP_21761,HEPG2,0.5uM,6h
MAPK11,YM90709,-0.46523093,LINCSKD_31604,VCAP,120 h,LINCSCP_14681,HA1E,10uM,24h
MAPK11,BSPBIO_001592,-0.46489803,LINCSKD_31604,VCAP,120 h,LINCSCP_30851,MCF7,50uM,6h
MAPK11,HMN-214,-0.46432513,LINCSKD_31604,VCAP,120 h,LINCSCP_70596,A375,10uM,24h
MAPK11,Pifithrin MU,-0.46344538,LINCSKD_31604,VCAP,120 h,LINCSCP_3917,A375,10uM,24h
MAPK11,Teniposide,-0.46339523,LINCSKD_31604,VCAP,120 h,LINCSCP_33168,MCF7,10uM,6h
MAPK11,HG-14-10-04,-0.4622681,LINCSKD_31604,VCAP,120 h,LINCSCP_151710,PC3,3.33uM,24h
MAPK11,Teicoplanin,-0.46211049,LINCSKD_31604,VCAP,120 h,LINCSCP_2503,A375,10uM,6h
MAPK11,Alvimopan (monohydrate),-0.4611787,LINCSKD_31604,VCAP,120 h,LINCSCP_162413,PC3,0.37uM,24h
MAPK11,Pazopanib,-0.45924771,LINCSKD_31604,VCAP,120 h,LINCSCP_39644,MDAMB231,1uM,6h
MAPK11,Norgestrel,-0.45915403,LINCSKD_31604,VCAP,120 h,LINCSCP_180202,A375,10uM,6h
MAPK11,Albendazole,-0.45902336,LINCSKD_31604,VCAP,120 h,LINCSCP_34152,MCF7,10uM,24h
MAPK11,138402-11-6,-0.45868788,LINCSKD_31604,VCAP,120 h,LINCSCP_58168,VCAP,10uM,24h
MAPK11,IWR-1-ENDO,-0.45825611,LINCSKD_31604,VCAP,120 h,LINCSCP_251055,MCF7,0.01uM,24h
