HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
CSNK1G2,-1,0.3457142857142857,-1,0.6254886630179828,0.37893938551718637,55,0.3003905533721713
CSNK1G3,-1,0.17142857142857143,-1,0.6254886630179828,0.3290495002288834,37,0.22524916349252547
CSNK2A2,-1,0.5485714285714286,-1,0.1376075058639562,0.33845574546927304,40,0.2394163305811496
DCLK1,-1,0.23714285714285716,-1,-1,0.276994960611562,17,0.14684749081303974
DDR1,-1,0.8485714285714285,-1,-1,0.42731707148906956,67,0.37325435215786695
DDR2,-1,0.9714285714285714,-1,-1,0.45752198161866214,77,0.4187473196243509
DMPK,-1,0.2257142857142857,-1,0.7130570758405004,0.3622778282185337,49,0.2752958359611122
DYRK1B,-1,0.7285714285714285,-1,0.9757623143080532,0.5592889818482726,89,0.572023154935362
DYRK2,-1,0.6685714285714286,-1,0.9757623143080532,0.5421137754375452,87,0.5461548075997461
DYRK3,-1,0.29428571428571426,-1,0.9757623143080532,0.4349732021134847,69,0.3847855932680477
DYRK4,-1,0.8485714285714285,-1,0.9757623143080532,0.5936393946697269,92,0.6237598496065934
EEF2K,-1,0.3828571428571429,-1,-1,0.3128193889047997,29,0.20080426618026484
EGFR,-1,0.7942857142857143,-1,-1,0.4139707158504123,64,0.3531528083936065
EIF2AK1,-1,0.05714285714285714,-1,0.2251759186864738,0.21547148181849926,1,0.05418422490199278
EIF2AK2,-1,0.5714285714285714,-1,0.2251759186864738,0.36268753676759,49,0.2759129163501281
EIF2AK3,-1,0.01142857142857142,-1,0.2251759186864738,0.20238561026746896,1,0.03447500788438074
EPHA2,-1,0.04571428571428571,-1,-1,0.2299314959910339,4,0.07596309964433215
EPHA3,-1,0.6971428571428572,-1,-1,0.3900877636549205,58,0.3171816248154565
EPHA4,-1,0.03428571428571429,-1,-1,0.22712173690921134,3,0.07173119569396155
EPHA8,-1,0.01428571428571428,-1,-1,0.2222046585160218,2,0.06432536378081295
EPHB1,-1,0.04,-1,-1,0.22852661645012262,3,0.07384714766914685
EPHB2,-1,0.29714285714285715,-1,-1,0.2917461957911305,22,0.16906498655248542
EPHB3,-1,0.6371428571428571,-1,-1,0.375336528475352,53,0.29496412907601083
ERBB2,-1,0.9628571428571427,-1,-1,0.4554146623072952,76,0.41557339166157287
ERBB4,-1,0.3914285714285714,-1,-1,0.31492670821616664,30,0.2039781941430428
FASTK,-1,0.21142857142857144,-1,-1,0.2706730026774612,15,0.1373257069247059
FER,-1,0.8914285714285715,-1,-1,0.4378536680459042,71,0.3891239919717567
FES,-1,0.15714285714285714,-1,-1,0.257326647038804,11,0.11722416316044552
FGFR1,-1,0.44857142857142857,-1,-1,0.3289755036252795,36,0.2251377138948958
FGFR2,-1,0.44857142857142857,-1,-1,0.3289755036252795,37,0.2251377138948958
FGFR3,-1,0.5257142857142857,-1,-1,0.3479413774275819,45,0.25370306555989747
FGFR4,-1,0.9457142857142856,-1,-1,0.4512000236845613,75,0.409225535736017
FGR,-1,0.5828571428571429,-1,-1,0.36199017283669477,49,0.27486258531175045
FLT1,-1,0.08,-1,-1,0.2383607732365016,6,0.08865881149544393
FLT3,-1,0.3628571428571429,-1,-1,0.30790231051161027,27,0.19339843426711636
FLT4,-1,0.16,-1,-1,0.2580290868092596,11,0.11828213914803817
FRK,-1,0.3314285714285714,-1,-1,0.3001754730365982,25,0.1817606984035972
FYN,-1,0.9142857142857144,-1,-1,0.44347318620954934,73,0.3975877998724979
GRK1,-1,0.39714285714285713,-1,0.3377638780297107,0.3355404657228894,39,0.23502549723356111
GRK2,-1,0.9,-1,-1,0.4399609873572711,72,0.3922979199345347
GRK3,-1,0.23142857142857143,-1,0.7380766223612197,0.36896752088321305,51,0.28537148159122017
GRK5,-1,0.68,-1,0.3377638780297107,0.41650929594488934,65,0.3569762775300355
GRK6,-1,0.5657142857142857,-1,0.3377638780297107,0.38379461706731366,57,0.3077032349860055
GSK3A,-1,0.8028571428571428,-1,0.8256450351837373,0.5502297707938936,88,0.558378671571543
HASPIN,-1,0.25142857142857145,-1,-1,0.2805071594638402,18,0.152137370751003
HCK,-1,0.5771428571428572,-1,-1,0.3605852932957834,48,0.27274663333656507
HIPK1,-1,0.8342857142857143,-1,0.9757623143080532,0.5895500598100301,91,0.6176007192885897
HIPK2,-1,0.4228571428571429,-1,0.9757623143080532,0.4717772158507575,79,0.4402177661300815
HIPK3,-1,0.11142857142857145,-1,0.9757623143080532,0.38262971590936357,56,0.3059487251975995
HIPK4,-1,0.84,-1,0.9757623143080532,0.5911857937539089,91,0.6200643714157913
CILK1,-1,0.27714285714285714,-1,-1,0.286829117397941,21,0.16165915463933686
IGF1R,-1,0.4171428571428571,-1,-1,0.3212486661502674,32,0.21349997803137666
IKBKB,-1,0.9085714285714286,-1,0.01250977326035965,0.416237190329634,65,0.3565664470803124
IKBKE,-1,0.6485714285714286,-1,0.01250977326035965,0.3418112958831492,42,0.24447027529264387
ILK,-1,0.5142857142857142,-1,0.21266614542611417,0.34380321796840185,43,0.24747039832665976
INSR,-1,0.46,-1,-1,0.33178526270710207,37,0.2293696178452664
IRAK1,-1,0.5514285714285714,-1,0.6004691164972635,0.43277184877602226,69,0.3814700364485191
IRAK3,-1,0.18285714285714288,-1,0.6004691164972635,0.32726700939584047,35,0.2225644742440221
IRAK4,-1,0.11428571428571428,-1,0.6004691164972635,0.307638202069295,27,0.19300064871760397
ITK,-1,0.44,-1,-1,0.3268681843139126,35,0.22196378593211794
JAK1,-1,0.7114285714285714,-1,-1,0.3935999625071987,60,0.32247150475341974
JAK2,-1,0.6971428571428572,-1,-1,0.3900877636549205,58,0.3171816248154565
JAK3,-1,0.4857142857142857,-1,-1,0.3381072206412029,40,0.23889140173360035
KDR,-1,0.09428571428571428,-1,-1,0.24187297208877984,7,0.09394869143340721
KIT,-1,0.7857142857142857,-1,-1,0.4118633965390454,63,0.34997888043082864
KSR1,-1,0.6114285714285714,-1,0.07505863956215794,0.3438139220499384,43,0.24748652022310014
KSR2,-1,0.28285714285714286,-1,0.07505863956215794,0.2497592202769082,9,0.10582652290901373
LATS1,-1,0.43142857142857144,-1,0.8756841282251759,0.45401498188337347,76,0.41346527030925806
LATS2,-1,0.8314285714285714,-1,0.8756841282251759,0.5685163579548885,90,0.5859209192133632
LCK,-1,0.8628571428571429,-1,-1,0.4308292703413477,68,0.3785442320958302
LIMK1,-1,0.13142857142857142,-1,-1,0.2510046891047032,9,0.10770237927211167
LIMK2,-1,0.4971428571428571,-1,-1,0.3409169797230255,41,0.24312330568397095
LRRK2,-1,0.5228571428571429,-1,-1,0.34723893765712627,44,0.2526450895723048
LYN,-1,0.7542857142857143,-1,-1,0.4041365590640333,62,0.3383411445673094
MAK,-1,0.16857142857142857,-1,-1,0.26013640612062655,11,0.12145606711081613
MAP2K1,-1,0.92,-1,0.838154808444097,0.586289296003809,90,0.612689536930627
MAP2K2,-1,0.34285714285714286,-1,0.838154808444097,0.4210801676720516,66,0.36386067208327527
MAP2K3,-1,0.20857142857142855,-1,0.838154808444097,0.38264041999090004,56,0.3059648470940398
MAP2K4,-1,0.4057142857142857,-1,0.838154808444097,0.4390732410547182,71,0.39096084548249177
MAP2K6,-1,0.36857142857142855,-1,0.838154808444097,0.428440970419506,68,0.37494710665568187
MAP2K7,-1,0.7171428571428572,-1,0.838154808444097,0.528220740996112,85,0.5252298864149736
MAP3K1,-1,0.2228571428571429,-1,0.5504300234558248,0.32860922956139094,36,0.2245860521286198
MAP3K10,-1,0.15428571428571428,-1,0.21266614542611417,0.24075197950403834,6,0.0922603143129651
MAP3K11,-1,0.4742857142857143,-1,0.21266614542611417,0.3323530803612504,38,0.2302248334362493
MAP3K13,-1,0.18571428571428572,-1,0.21266614542611417,0.24974851619537167,9,0.10581040101257337
MAP3K14,-1,0.5342857142857143,-1,0.2627052384675528,0.35963620421357867,47,0.2713171677776779
MAP3K20,-1,0.2742857142857143,-1,-1,0.28612667762748534,20,0.1606011786517442
MAP3K3,-1,0.11714285714285716,-1,0.5504300234558248,0.2983481515996334,25,0.17900848777539202
MAP3K4,-1,0.08571428571428572,-1,0.5504300234558248,0.2893516149083,21,0.16545840107578366
MAP3K5,-1,0.4542857142857143,-1,0.5504300234558248,0.3948564542884818,60,0.3243639632802807
MAP3K6,-1,0.5342857142857143,-1,0.5504300234558248,0.4177567295027848,65,0.35885509306110175
MAP3K7,-1,0.5685714285714286,-1,0.5504300234558248,0.42757113316605755,68,0.3736370058243108
MAP4K1,-1,0.16285714285714287,-1,0.4628616106333073,0.2937451676278618,24,0.17207572753283149
MAP4K2,-1,0.7971428571428572,-1,0.4628616106333073,0.4753116353984071,80,0.44554111365219845
MAP4K3,-1,0.10571428571428572,-1,0.4628616106333073,0.277387828189074,18,0.14743920626081655
MAP4K4,-1,0.07142857142857142,-1,0.400312744331509,0.2549385277237999,10,0.11362730974034138
MAP4K5,-1,0.6942857142857143,-1,0.4628616106333073,0.44586842440858904,74,0.40119537536257155
MAPK10,-1,0.5314285714285715,-1,0.9632525410476936,0.5003291814240542,82,0.483221159795457
